ID,name,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude,LY_distance
1,41 H. And,Andromeda,01,41,46.52,+42,36,49.7,4.96,41
2,υ And,Andromeda,01,36,47.98,+41,24,23.0,4.10,44
3,7 And,Andromeda,23,12,32.92,+49,24,21.5,4.53,80
4,λ And,Andromeda,23,37,33.71,+46,27,33.0,3.81,84
5,ω And,Andromeda,01,27,39.09,+45,24,25.0,4.83,92
6,α And,Andromeda,00,08,23.17,+29,05,27.0,2.07,97
7,δ And,Andromeda,00,39,19.60,+30,51,40.4,3.27,101
8,μ And,Andromeda,00,56,45.10,+38,29,57.3,3.86,136
9,σ And,Andromeda,00,18,19.71,+36,47,07.2,4.51,141
10,ε And,Andromeda,00,38,33.50,+29,18,44.5,4.34,169
11,κ And,Andromeda,23,40,24.44,+44,20,02.3,4.15,170
12,51 And,Andromeda,01,37,59.50,+48,37,42.6,3.59,174
13,3 And,Andromeda,23,04,10.83,+50,03,06.1,4.64,179
14,ζ And,Andromeda,00,47,20.39,+24,16,02.6,4.08,181
15,ξ And,Andromeda,01,22,20.39,+45,31,43.5,4.87,195
16,58 And,Andromeda,02,08,29.15,+37,51,33.1,4.78,198
17,β And,Andromeda,01,09,43.80,+35,37,15.0,2.07,199
18,η And,Andromeda,00,57,12.43,+23,25,03.9,4.40,243
19,θ And,Andromeda,00,17,05.54,+38,40,54.0,4.61,253
20,65 And,Andromeda,02,25,37.40,+50,16,43.2,4.73,345
21,γ2 And,Andromeda,02,03,54.70,+42,19,51.0,4.84,350
22,γ1 And,Andromeda,02,03,53.92,+42,19,47.5,2.10,355
23,ι And,Andromeda,23,38,08.18,+43,16,05.1,4.29,502
24,60 And,Andromeda,02,13,13.34,+44,13,54.1,4.84,556
25,8 And,Andromeda,23,17,44.62,+49,00,55.0,4.82,655
26,π And,Andromeda,00,36,52.84,+33,43,09.7,4.34,656
27,ν And,Andromeda,00,49,48.83,+41,04,44.2,4.53,679
28,τ And,Andromeda,01,40,34.80,+40,34,37.6,4.96,681
29,ο And,Andromeda,23,01,55.25,+42,19,33.5,3.62,692
30,φ And,Andromeda,01,09,30.12,+47,14,30.6,4.26,736
31,5 And,Andromeda,23,07,45.25,+49,17,43.6,5.68,111
32,23 And,Andromeda,00,13,30.94,+41,02,08.6,5.71,114
33,36 And,Andromeda,00,54,58.02,+23,37,42.4,5.46,127
34,ρ And,Andromeda,00,21,07.23,+37,58,07.3,5.16,160
35,44 And,Andromeda,01,10,18.85,+42,04,53.7,5.67,172
36,GN And,Andromeda,00,30,07.34,+29,45,06.1,5.20,185
37,41 And,Andromeda,01,08,00.72,+43,56,32.1,5.04,196
38,6 Per,Andromeda,02,13,36.02,+51,03,58.4,5.31,199
39,47 And,Andromeda,01,23,40.56,+37,42,54.0,5.60,211
40,V340 And,Andromeda,23,34,37.55,+40,14,11.6,5.55,233
41,χ And,Andromeda,01,39,21.02,+44,23,10.1,5.01,242
42,14 And,Andromeda,23,31,17.20,+39,14,11.0,5.22,249
43,62 And,Andromeda,02,19,16.85,+47,22,48.0,5.31,255
44,HD 2421,Andromeda,00,28,13.59,+44,23,40.2,5.18,265
45,49 And,Andromeda,01,30,06.10,+47,00,26.6,5.27,290
46,V388 And,Andromeda,23,27,07.33,+42,54,43.1,5.75,294
47,56 And,Andromeda,01,56,09.23,+37,15,06.5,5.69,320
48,11 And,Andromeda,23,19,29.79,+48,37,30.7,5.44,328
49,4 And,Andromeda,23,07,39.28,+46,23,14.3,5.30,342
50,32 And,Andromeda,00,41,07.20,+39,27,31.2,5.30,344
51,2 And,Andromeda,23,02,36.34,+42,45,28.1,5.09,349
52,PZ And,Andromeda,02,20,58.17,+50,09,05.5,5.57,356
53,64 And,Andromeda,02,24,24.89,+50,00,23.9,5.19,375
54,18 And,Andromeda,23,39,08.35,+50,28,18.3,5.35,390
55,HD 5788,Andromeda,01,00,03.55,+44,42,47.9,5.69,420
56,55 And,Andromeda,01,53,17.35,+40,43,47.3,5.42,540
57,V428 And,Andromeda,00,36,46.47,+44,29,18.6,5.14,656
58,HD 16028,Andromeda,02,35,38.74,+37,18,44.2,5.72,676
59,22 And,Andromeda,00,10,19.24,+46,04,20.2,5.01,1006
60,ψ And,Andromeda,23,46,02.04,+46,25,13.0,4.97,1309
61,V439 And,Andromeda,00,06,36.53,+29,01,19.0,6.07,45
62,HD 224635,Andromeda,23,59,29.33,+33,43,26.9,5.81,95
63,6 And,Andromeda,23,10,27.36,+43,32,41.1,5.91,112
64,HD 8673,Andromeda,01,26,08.62,+34,34,47.7,6.34,125
65,12 And,Andromeda,23,20,53.17,+38,10,56.9,5.77,138
66,HD 14622,Andromeda,02,22,50.36,+41,23,47.5,5.81,154
67,66 And,Andromeda,02,27,51.75,+50,34,12.7,6.16,173
68,HD 5608,Andromeda,00,58,14.19,+33,57,03.8,5.99,190
69,HD 220105,Andromeda,23,20,44.11,+44,06,58.5,6.25,261
70,59 And A,Andromeda,02,10,52.83,+39,02,22.5,6.09,263
71,GO And,Andromeda,00,50,18.21,+45,00,08.1,6.13,296
72,HD 1185,Andromeda,00,16,21.50,+43,35,42.4,6.12,303
73,39 And,Andromeda,01,02,54.28,+41,20,42.7,5.95,344
74,KK And,Andromeda,01,34,16.60,+37,14,13.9,5.90,392
75,HD 895,Andromeda,00,13,23.93,+26,59,15.4,6.24,403
76,OP And,Andromeda,01,36,27.21,+48,43,22.2,6.20,420
77,OU And,Andromeda,23,49,40.96,+36,25,31.4,5.86,440
78,HD 3883,Andromeda,00,41,35.98,+24,37,44.6,6.06,462
79,HD 2767,Andromeda,00,31,25.61,+33,34,54.1,5.88,467
80,HD 2942,Andromeda,00,32,49.09,+28,16,48.8,6.26,469
81,AN And,Andromeda,23,18,23.33,+41,46,25.3,5.98,472
82,10 And,Andromeda,23,19,52.38,+42,04,40.9,5.81,542
83,HD 1606,Andromeda,00,20,24.39,+30,56,08.2,5.89,582
84,HD 221776,Andromeda,23,34,46.73,+38,01,26.3,6.18,678
85,26 And,Andromeda,00,18,42.15,+43,47,28.1,6.10,692
86,HD 222109,Andromeda,23,37,32.03,+44,25,44.5,5.81,823
87,HD 221246,Andromeda,23,30,07.39,+49,07,59.3,6.19,856
88,45 And,Andromeda,01,11,10.29,+37,43,26.9,5.80,916
89,HD 223229,Andromeda,23,47,33.05,+46,49,57.3,6.08,1320
90,HD 225218,Andromeda,00,04,36.60,+42,05,33.2,6.11,1680
91,RU And,Andromeda,01,38,37,+38,40,12,9.9,0
92,GRB 34,Andromeda,00,18,22.9,+44,01,22,8.01,11.62
93,HD 13931,Andromeda,02,16,47.38,+43,46,22.8,7.52,144
94,HD 222155,Andromeda,23,38,00,+48,59,47,7.1,160
95,V529 And,Andromeda,01,27,26.67,+41,06,04.0,6.42,182
96,HD 16175,Andromeda,02,37,01.91,+42,03,45.5,7.28,195
97,HD 1605,Andromeda,00,20,32.0,+30,58,29,7.52,276
98,HD 222399,Andromeda,23,40,02.82,+37,39,10.2,6.49,291
99,HD 6114,Andromeda,01,03,01.47,+47,22,34.3,6.46,337
